 Óbitos por Causas Externas - Pará
Óbitos p/Ocorrênc por Município
Grande Grupo CID10: X85-Y09 Agressões
Período:2023
"Município";"Óbitos_p/Ocorrênc"
" MUNICIPIO IGNORADO - PA";-
"150010 ABAETETUBA";33
"150013 ABEL FIGUEIREDO";2
"150020 ACARA";21
"150030 AFUA";10
"150034 AGUA AZUL DO NORTE";9
"150040 ALENQUER";4
"150050 ALMEIRIM";6
"150060 ALTAMIRA";82
"150070 ANAJAS";3
"150080 ANANINDEUA";202
"150085 ANAPU";14
"150090 AUGUSTO CORREA";7
"150095 AURORA DO PARA";12
"150100 AVEIRO";2
"150110 BAGRE";1
"150120 BAIAO";8
"150125 BANNACH";3
"150130 BARCARENA";46
"150140 BELEM";263
"150145 BELTERRA";3
"150150 BENEVIDES";5
"150157 BOM JESUS DO TOCANTINS";-
"150160 BONITO";7
"150170 BRAGANCA";22
"150172 BRASIL NOVO";7
"150175 BREJO GRANDE DO ARAGUAIA";1
"150178 BREU BRANCO";17
"150180 BREVES";23
"150190 BUJARU";11
"150195 CACHOEIRA DO PIRIA";8
"150200 CACHOEIRA DO ARARI";-
"150210 CAMETA";25
"150215 CANAA DOS CARAJAS";24
"150220 CAPANEMA";21
"150230 CAPITAO POCO";13
"150240 CASTANHAL";59
"150250 CHAVES";1
"150260 COLARES";4
"150270 CONCEICAO DO ARAGUAIA";19
"150275 CONCORDIA DO PARA";8
"150276 CUMARU DO NORTE";15
"150277 CURIONOPOLIS";4
"150280 CURRALINHO";7
"150285 CURUA";-
"150290 CURUCA";14
"150293 DOM ELISEU";18
"150295 ELDORADO DOS CARAJAS";8
"150300 FARO";-
"150304 FLORESTA DO ARAGUAIA";8
"150307 GARRAFAO DO NORTE";8
"150309 GOIANESIA DO PARA";14
"150310 GURUPA";1
"150320 IGARAPE-ACU";7
"150330 IGARAPE-MIRI";24
"150340 INHANGAPI";3
"150345 IPIXUNA DO PARA";23
"150350 IRITUIA";6
"150360 ITAITUBA";74
"150370 ITUPIRANGA";6
"150375 JACAREACANGA";7
"150380 JACUNDA";7
"150390 JURUTI";9
"150400 LIMOEIRO DO AJURU";-
"150405 MAE DO RIO";19
"150410 MAGALHAES BARATA";-
"150420 MARABA";215
"150430 MARACANA";4
"150440 MARAPANIM";9
"150442 MARITUBA";30
"150445 MEDICILANDIA";16
"150450 MELGACO";1
"150460 MOCAJUBA";11
"150470 MOJU";29
"150475 MOJUI DOS CAMPOS";2
"150480 MONTE ALEGRE";-
"150490 MUANA";-
"150495 NOVA ESPERANCA DO PIRIA";6
"150497 NOVA IPIXUNA";3
"150500 NOVA TIMBOTEUA";1
"150503 NOVO PROGRESSO";30
"150506 NOVO REPARTIMENTO";24
"150510 OBIDOS";1
"150520 OEIRAS DO PARA";5
"150530 ORIXIMINA";16
"150540 OUREM";1
"150543 OURILANDIA DO NORTE";19
"150548 PACAJA";47
"150549 PALESTINA DO PARA";2
"150550 PARAGOMINAS";52
"150553 PARAUAPEBAS";79
"150555 PAU D'ARCO";2
"150560 PEIXE-BOI";1
"150563 PICARRA";1
"150565 PLACAS";8
"150570 PONTA DE PEDRAS";2
"150580 PORTEL";17
"150590 PORTO DE MOZ";16
"150600 PRAINHA";4
"150610 PRIMAVERA";1
"150611 QUATIPURU";-
"150613 REDENCAO";56
"150616 RIO MARIA";11
"150618 RONDON DO PARA";7
"150619 RUROPOLIS";6
"150620 SALINOPOLIS";19
"150630 SALVATERRA";4
"150635 SANTA BARBARA DO PARA";12
"150640 SANTA CRUZ DO ARARI";1
"150650 SANTA IZABEL DO PARA";17
"150655 SANTA LUZIA DO PARA";8
"150658 SANTA MARIA DAS BARREIRAS";3
"150660 SANTA MARIA DO PARA";7
"150670 SANTANA DO ARAGUAIA";12
"150680 SANTAREM";72
"150690 SANTAREM NOVO";5
"150700 SANTO ANTONIO DO TAUA";10
"150710 SAO CAETANO DE ODIVELAS";7
"150715 SAO DOMINGOS DO ARAGUAIA";5
"150720 SAO DOMINGOS DO CAPIM";8
"150730 SAO FELIX DO XINGU";33
"150740 SAO FRANCISCO DO PARA";3
"150745 SAO GERALDO DO ARAGUAIA";3
"150746 SAO JOAO DA PONTA";1
"150747 SAO JOAO DE PIRABAS";2
"150750 SAO JOAO DO ARAGUAIA";4
"150760 SAO MIGUEL DO GUAMA";13
"150770 SAO SEBASTIAO DA BOA VISTA";2
"150775 SAPUCAIA";1
"150780 SENADOR JOSE PORFIRIO";13
"150790 SOURE";-
"150795 TAILANDIA";28
"150796 TERRA ALTA";3
"150797 TERRA SANTA";6
"150800 TOME-ACU";26
"150803 TRACUATEUA";4
"150805 TRAIRAO";3
"150808 TUCUMA";16
"150810 TUCURUI";43
"150812 ULIANOPOLIS";20
"150815 URUARA";33
"150820 VIGIA";10
"150830 VISEU";19
"150835 VITORIA DO XINGU";1
"150840 XINGUARA";21
"Total";2521
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2023. Dados preliminares de 2024 atualizados em 10/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
