 Óbitos por Causas Externas - Pará
Óbitos p/Ocorrênc por Município
Grande Grupo CID10: V01-V99 Acidentes de transporte
Período:2023
"Município";"Óbitos_p/Ocorrênc"
" MUNICIPIO IGNORADO - PA";-
"150010 ABAETETUBA";18
"150013 ABEL FIGUEIREDO";-
"150020 ACARA";8
"150030 AFUA";3
"150034 AGUA AZUL DO NORTE";8
"150040 ALENQUER";3
"150050 ALMEIRIM";1
"150060 ALTAMIRA";58
"150070 ANAJAS";2
"150080 ANANINDEUA";194
"150085 ANAPU";8
"150090 AUGUSTO CORREA";2
"150095 AURORA DO PARA";11
"150100 AVEIRO";1
"150110 BAGRE";-
"150120 BAIAO";8
"150125 BANNACH";-
"150130 BARCARENA";20
"150140 BELEM";85
"150145 BELTERRA";8
"150150 BENEVIDES";7
"150157 BOM JESUS DO TOCANTINS";1
"150160 BONITO";7
"150170 BRAGANCA";18
"150172 BRASIL NOVO";5
"150175 BREJO GRANDE DO ARAGUAIA";1
"150178 BREU BRANCO";6
"150180 BREVES";2
"150190 BUJARU";-
"150195 CACHOEIRA DO PIRIA";5
"150200 CACHOEIRA DO ARARI";-
"150210 CAMETA";11
"150215 CANAA DOS CARAJAS";24
"150220 CAPANEMA";37
"150230 CAPITAO POCO";7
"150240 CASTANHAL";38
"150250 CHAVES";-
"150260 COLARES";3
"150270 CONCEICAO DO ARAGUAIA";14
"150275 CONCORDIA DO PARA";11
"150276 CUMARU DO NORTE";1
"150277 CURIONOPOLIS";12
"150280 CURRALINHO";-
"150285 CURUA";1
"150290 CURUCA";7
"150293 DOM ELISEU";11
"150295 ELDORADO DOS CARAJAS";11
"150300 FARO";-
"150304 FLORESTA DO ARAGUAIA";6
"150307 GARRAFAO DO NORTE";6
"150309 GOIANESIA DO PARA";16
"150310 GURUPA";3
"150320 IGARAPE-ACU";12
"150330 IGARAPE-MIRI";5
"150340 INHANGAPI";2
"150345 IPIXUNA DO PARA";4
"150350 IRITUIA";8
"150360 ITAITUBA";74
"150370 ITUPIRANGA";4
"150375 JACAREACANGA";4
"150380 JACUNDA";5
"150390 JURUTI";7
"150400 LIMOEIRO DO AJURU";1
"150405 MAE DO RIO";3
"150410 MAGALHAES BARATA";2
"150420 MARABA";131
"150430 MARACANA";6
"150440 MARAPANIM";3
"150442 MARITUBA";12
"150445 MEDICILANDIA";8
"150450 MELGACO";-
"150460 MOCAJUBA";5
"150470 MOJU";11
"150475 MOJUI DOS CAMPOS";5
"150480 MONTE ALEGRE";9
"150490 MUANA";1
"150495 NOVA ESPERANCA DO PIRIA";1
"150497 NOVA IPIXUNA";3
"150500 NOVA TIMBOTEUA";5
"150503 NOVO PROGRESSO";24
"150506 NOVO REPARTIMENTO";19
"150510 OBIDOS";8
"150520 OEIRAS DO PARA";-
"150530 ORIXIMINA";5
"150540 OUREM";-
"150543 OURILANDIA DO NORTE";17
"150548 PACAJA";10
"150549 PALESTINA DO PARA";-
"150550 PARAGOMINAS";42
"150553 PARAUAPEBAS";55
"150555 PAU D'ARCO";4
"150560 PEIXE-BOI";1
"150563 PICARRA";1
"150565 PLACAS";5
"150570 PONTA DE PEDRAS";3
"150580 PORTEL";-
"150590 PORTO DE MOZ";1
"150600 PRAINHA";3
"150610 PRIMAVERA";1
"150611 QUATIPURU";1
"150613 REDENCAO";51
"150616 RIO MARIA";5
"150618 RONDON DO PARA";7
"150619 RUROPOLIS";5
"150620 SALINOPOLIS";6
"150630 SALVATERRA";1
"150635 SANTA BARBARA DO PARA";1
"150640 SANTA CRUZ DO ARARI";1
"150650 SANTA IZABEL DO PARA";8
"150655 SANTA LUZIA DO PARA";1
"150658 SANTA MARIA DAS BARREIRAS";8
"150660 SANTA MARIA DO PARA";9
"150670 SANTANA DO ARAGUAIA";28
"150680 SANTAREM";72
"150690 SANTAREM NOVO";2
"150700 SANTO ANTONIO DO TAUA";4
"150710 SAO CAETANO DE ODIVELAS";2
"150715 SAO DOMINGOS DO ARAGUAIA";4
"150720 SAO DOMINGOS DO CAPIM";1
"150730 SAO FELIX DO XINGU";16
"150740 SAO FRANCISCO DO PARA";8
"150745 SAO GERALDO DO ARAGUAIA";3
"150746 SAO JOAO DA PONTA";-
"150747 SAO JOAO DE PIRABAS";2
"150750 SAO JOAO DO ARAGUAIA";2
"150760 SAO MIGUEL DO GUAMA";11
"150770 SAO SEBASTIAO DA BOA VISTA";-
"150775 SAPUCAIA";3
"150780 SENADOR JOSE PORFIRIO";1
"150790 SOURE";1
"150795 TAILANDIA";22
"150796 TERRA ALTA";2
"150797 TERRA SANTA";4
"150800 TOME-ACU";26
"150803 TRACUATEUA";9
"150805 TRAIRAO";22
"150808 TUCUMA";8
"150810 TUCURUI";57
"150812 ULIANOPOLIS";11
"150815 URUARA";9
"150820 VIGIA";8
"150830 VISEU";4
"150835 VITORIA DO XINGU";1
"150840 XINGUARA";21
"Total";1707
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2023. Dados preliminares de 2024 atualizados em 10/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
